timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754005477653,504,Login simultâneo,200,,Testes - 1000 acessos 1-5,text,true,,635,246,55,55,http://localhost:8080/api/auth/login,504,0,1
1754005477621,572,Login simultâneo,200,,Testes - 1000 acessos 1-2,text,true,,635,246,58,58,http://localhost:8080/api/auth/login,572,0,2
1754005477610,592,Login simultâneo,200,,Testes - 1000 acessos 1-1,text,true,,635,246,59,59,http://localhost:8080/api/auth/login,592,0,1
1754005477631,660,Login simultâneo,200,,Testes - 1000 acessos 1-3,text,true,,635,246,65,65,http://localhost:8080/api/auth/login,660,0,1
1754005477641,653,Login simultâneo,200,,Testes - 1000 acessos 1-4,text,true,,635,246,67,67,http://localhost:8080/api/auth/login,653,0,1
1754005477699,618,Login simultâneo,200,,Testes - 1000 acessos 1-10,text,true,,635,246,71,71,http://localhost:8080/api/auth/login,618,0,1
1754005477661,670,Login simultâneo,200,,Testes - 1000 acessos 1-6,text,true,,635,246,71,71,http://localhost:8080/api/auth/login,670,0,1
1754005477684,692,Login simultâneo,200,,Testes - 1000 acessos 1-8,text,true,,635,246,76,76,http://localhost:8080/api/auth/login,692,0,0
1754005477690,773,Login simultâneo,200,,Testes - 1000 acessos 1-9,text,true,,635,246,83,83,http://localhost:8080/api/auth/login,773,0,4
1754005477673,806,Login simultâneo,200,,Testes - 1000 acessos 1-7,text,true,,635,246,86,86,http://localhost:8080/api/auth/login,806,0,1
1754005478123,548,Login simultâneo,200,,Testes - 1000 acessos 1-52,text,true,,635,246,107,107,http://localhost:8080/api/auth/login,548,0,0
1754005477770,955,Login simultâneo,200,,Testes - 1000 acessos 1-17,text,true,,635,246,110,110,http://localhost:8080/api/auth/login,955,0,1
1754005477743,996,Login simultâneo,200,,Testes - 1000 acessos 1-14,text,true,,635,246,111,111,http://localhost:8080/api/auth/login,996,0,0
1754005477755,1065,Login simultâneo,200,,Testes - 1000 acessos 1-15,text,true,,635,246,121,121,http://localhost:8080/api/auth/login,1065,0,1
1754005477710,1116,Login simultâneo,200,,Testes - 1000 acessos 1-11,text,true,,635,246,122,122,http://localhost:8080/api/auth/login,1116,0,0
1754005477759,1118,Login simultâneo,200,,Testes - 1000 acessos 1-16,text,true,,635,246,127,127,http://localhost:8080/api/auth/login,1118,0,1
1754005478371,629,Login simultâneo,200,,Testes - 1000 acessos 1-77,text,true,,635,246,138,138,http://localhost:8080/api/auth/login,629,0,0
1754005477730,1277,Login simultâneo,200,,Testes - 1000 acessos 1-13,text,true,,635,246,138,138,http://localhost:8080/api/auth/login,1277,0,0
1754005477811,1229,Login simultâneo,200,,Testes - 1000 acessos 1-21,text,true,,635,246,143,143,http://localhost:8080/api/auth/login,1229,0,1
1754005477781,1518,Login simultâneo,200,,Testes - 1000 acessos 1-18,text,true,,635,246,169,169,http://localhost:8080/api/auth/login,1518,0,1
1754005477795,1525,Login simultâneo,200,,Testes - 1000 acessos 1-19,text,true,,635,246,171,171,http://localhost:8080/api/auth/login,1525,0,1
1754005477873,1564,Login simultâneo,200,,Testes - 1000 acessos 1-27,text,true,,635,246,183,183,http://localhost:8080/api/auth/login,1564,0,0
1754005477839,1628,Login simultâneo,200,,Testes - 1000 acessos 1-23,text,true,,635,246,186,186,http://localhost:8080/api/auth/login,1628,0,1
1754005477801,1672,Login simultâneo,200,,Testes - 1000 acessos 1-20,text,true,,635,246,187,187,http://localhost:8080/api/auth/login,1672,0,0
1754005477838,1789,Login simultâneo,200,,Testes - 1000 acessos 1-22,text,true,,635,246,202,202,http://localhost:8080/api/auth/login,1789,0,1
1754005478929,721,Login simultâneo,200,,Testes - 1000 acessos 1-132,text,true,,635,246,204,204,http://localhost:8080/api/auth/login,721,0,0
1754005477869,1786,Login simultâneo,200,,Testes - 1000 acessos 1-26,text,true,,635,246,205,205,http://localhost:8080/api/auth/login,1786,0,0
1754005477914,1769,Login simultâneo,200,,Testes - 1000 acessos 1-30,text,true,,635,246,207,207,http://localhost:8080/api/auth/login,1769,0,0
1754005477883,1861,Login simultâneo,200,,Testes - 1000 acessos 1-28,text,true,,635,246,214,214,http://localhost:8080/api/auth/login,1861,0,1
