timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754004377975,337,Login simultâneo,200,,Testes - 200 acessos 1-1,text,true,,635,246,7,7,http://localhost:8080/api/auth/login,337,0,1
1754004378313,39,Listar restaurantes,200,,Testes - 200 acessos 1-1,text,true,,2872,396,8,8,http://localhost:8080/api/restaurantes,38,0,0
1754004378026,338,Login simultâneo,200,,Testes - 200 acessos 1-2,text,true,,635,246,8,8,http://localhost:8080/api/auth/login,338,0,1
1754004378075,344,Login simultâneo,200,,Testes - 200 acessos 1-3,text,true,,635,246,9,9,http://localhost:8080/api/auth/login,344,0,2
1754004378352,74,Criação de pedidos,201,,Testes - 200 acessos 1-1,text,true,,771,706,10,10,http://localhost:8080/api/pedidos,74,0,0
1754004378380,53,Listar restaurantes,200,,Testes - 200 acessos 1-2,text,true,,2872,396,10,10,http://localhost:8080/api/restaurantes,53,0,0
1754004378421,36,Listar restaurantes,200,,Testes - 200 acessos 1-3,text,true,,2872,396,10,10,http://localhost:8080/api/restaurantes,30,0,0
1754004378426,49,Consulta de Pedidos,200,,Testes - 200 acessos 1-1,text,true,,861,393,11,11,http://localhost:8080/api/pedidos/1,49,0,0
1754004378435,47,Criação de pedidos,201,,Testes - 200 acessos 1-2,text,true,,771,706,10,10,http://localhost:8080/api/pedidos,47,0,0
1754004378127,384,Login simultâneo,200,,Testes - 200 acessos 1-4,text,true,,635,246,10,10,http://localhost:8080/api/auth/login,384,0,1
1754004378458,62,Criação de pedidos,201,,Testes - 200 acessos 1-3,text,true,,771,706,10,10,http://localhost:8080/api/pedidos,62,0,0
1754004378489,45,Consulta de Pedidos,200,,Testes - 200 acessos 1-2,text,true,,861,393,11,11,http://localhost:8080/api/pedidos/1,43,0,0
1754004378514,25,Listar restaurantes,200,,Testes - 200 acessos 1-4,text,true,,2872,396,10,10,http://localhost:8080/api/restaurantes,24,0,0
1754004378520,28,Consulta de Pedidos,200,,Testes - 200 acessos 1-3,text,true,,861,393,10,10,http://localhost:8080/api/pedidos/1,27,0,0
1754004378539,42,Criação de pedidos,201,,Testes - 200 acessos 1-4,text,true,,770,706,10,10,http://localhost:8080/api/pedidos,42,0,0
1754004378175,416,Login simultâneo,200,,Testes - 200 acessos 1-5,text,true,,635,246,10,10,http://localhost:8080/api/auth/login,416,0,0
1754004378581,23,Consulta de Pedidos,200,,Testes - 200 acessos 1-4,text,true,,861,393,10,10,http://localhost:8080/api/pedidos/1,22,0,0
1754004378225,389,Login simultâneo,200,,Testes - 200 acessos 1-6,text,true,,635,246,9,9,http://localhost:8080/api/auth/login,389,0,1
1754004378592,25,Listar restaurantes,200,,Testes - 200 acessos 1-5,text,true,,2872,396,9,9,http://localhost:8080/api/restaurantes,25,0,0
1754004378615,45,Listar restaurantes,200,,Testes - 200 acessos 1-6,text,true,,2872,396,10,10,http://localhost:8080/api/restaurantes,45,0,0
1754004378618,47,Criação de pedidos,201,,Testes - 200 acessos 1-5,text,true,,771,706,10,10,http://localhost:8080/api/pedidos,43,0,0
1754004378275,396,Login simultâneo,200,,Testes - 200 acessos 1-7,text,true,,635,246,10,10,http://localhost:8080/api/auth/login,395,0,0
1754004378665,30,Consulta de Pedidos,200,,Testes - 200 acessos 1-5,text,true,,861,393,11,11,http://localhost:8080/api/pedidos/1,28,0,0
1754004378671,33,Listar restaurantes,200,,Testes - 200 acessos 1-7,text,true,,2872,396,10,10,http://localhost:8080/api/restaurantes,33,0,0
1754004378660,63,Criação de pedidos,201,,Testes - 200 acessos 1-6,text,true,,771,706,10,10,http://localhost:8080/api/pedidos,62,0,0
1754004378328,410,Login simultâneo,200,,Testes - 200 acessos 1-8,text,true,,635,246,11,11,http://localhost:8080/api/auth/login,410,0,1
1754004378704,63,Criação de pedidos,201,,Testes - 200 acessos 1-7,text,true,,771,706,11,11,http://localhost:8080/api/pedidos,59,0,0
1754004378724,47,Consulta de Pedidos,200,,Testes - 200 acessos 1-6,text,true,,861,393,11,11,http://localhost:8080/api/pedidos/1,45,0,0
1754004378739,52,Listar restaurantes,200,,Testes - 200 acessos 1-8,text,true,,2872,396,11,11,http://localhost:8080/api/restaurantes,52,0,0
1754004378426,402,Login simultâneo,200,,Testes - 200 acessos 1-10,text,true,,635,246,12,12,http://localhost:8080/api/auth/login,402,0,1
1754004378768,60,Consulta de Pedidos,200,,Testes - 200 acessos 1-7,text,true,,861,393,12,12,http://localhost:8080/api/pedidos/1,59,0,0
1754004378829,38,Listar restaurantes,200,,Testes - 200 acessos 1-10,text,true,,2872,396,11,11,http://localhost:8080/api/restaurantes,38,0,0
1754004378792,75,Criação de pedidos,201,,Testes - 200 acessos 1-8,text,true,,771,706,11,11,http://localhost:8080/api/pedidos,75,0,0
1754004378381,486,Login simultâneo,200,,Testes - 200 acessos 1-9,text,true,,635,246,11,11,http://localhost:8080/api/auth/login,486,0,1
1754004378867,37,Consulta de Pedidos,200,,Testes - 200 acessos 1-8,text,true,,861,393,12,12,http://localhost:8080/api/pedidos/1,27,0,0
1754004378867,37,Listar restaurantes,200,,Testes - 200 acessos 1-9,text,true,,2872,396,12,12,http://localhost:8080/api/restaurantes,26,0,0
1754004378867,65,Criação de pedidos,201,,Testes - 200 acessos 1-10,text,true,,771,706,12,12,http://localhost:8080/api/pedidos,63,0,0
1754004378526,446,Login simultâneo,200,,Testes - 200 acessos 1-12,text,true,,635,246,12,12,http://localhost:8080/api/auth/login,446,0,0
1754004378575,397,Login simultâneo,200,,Testes - 200 acessos 1-13,text,true,,635,246,12,12,http://localhost:8080/api/auth/login,397,0,1
1754004378904,81,Criação de pedidos,201,,Testes - 200 acessos 1-9,text,true,,771,706,13,13,http://localhost:8080/api/pedidos,81,0,0
1754004378476,529,Login simultâneo,200,,Testes - 200 acessos 1-11,text,true,,635,246,13,13,http://localhost:8080/api/auth/login,529,0,6
1754004378972,34,Listar restaurantes,200,,Testes - 200 acessos 1-12,text,true,,2872,396,13,13,http://localhost:8080/api/restaurantes,34,0,0
1754004378973,39,Listar restaurantes,200,,Testes - 200 acessos 1-13,text,true,,2872,396,13,13,http://localhost:8080/api/restaurantes,39,0,0
1754004378932,111,Consulta de Pedidos,200,,Testes - 200 acessos 1-10,text,true,,861,393,14,14,http://localhost:8080/api/pedidos/1,108,0,0
1754004379006,49,Listar restaurantes,200,,Testes - 200 acessos 1-11,text,true,,2872,396,13,13,http://localhost:8080/api/restaurantes,49,0,0
1754004379012,66,Criação de pedidos,201,,Testes - 200 acessos 1-13,text,true,,771,706,14,14,http://localhost:8080/api/pedidos,66,0,0
1754004379006,80,Criação de pedidos,201,,Testes - 200 acessos 1-12,text,true,,771,706,14,14,http://localhost:8080/api/pedidos,78,0,0
1754004378986,111,Consulta de Pedidos,200,,Testes - 200 acessos 1-9,text,true,,861,393,14,14,http://localhost:8080/api/pedidos/1,111,0,0
1754004378724,416,Login simultâneo,200,,Testes - 200 acessos 1-16,text,true,,635,246,14,14,http://localhost:8080/api/auth/login,416,0,1
1754004379055,108,Criação de pedidos,201,,Testes - 200 acessos 1-11,text,true,,771,706,14,14,http://localhost:8080/api/pedidos,107,0,0
1754004379079,96,Consulta de Pedidos,200,,Testes - 200 acessos 1-13,text,true,,861,393,14,14,http://localhost:8080/api/pedidos/1,96,0,0
1754004379086,102,Consulta de Pedidos,200,,Testes - 200 acessos 1-12,text,true,,861,393,14,14,http://localhost:8080/api/pedidos/1,102,0,0
1754004378625,566,Login simultâneo,200,,Testes - 200 acessos 1-14,text,true,,635,246,13,13,http://localhost:8080/api/auth/login,566,0,1
1754004378676,515,Login simultâneo,200,,Testes - 200 acessos 1-15,text,true,,635,246,13,13,http://localhost:8080/api/auth/login,515,0,1
1754004379163,43,Consulta de Pedidos,200,,Testes - 200 acessos 1-11,text,true,,861,393,13,13,http://localhost:8080/api/pedidos/1,41,0,0
1754004379141,66,Listar restaurantes,200,,Testes - 200 acessos 1-16,text,true,,2872,396,12,12,http://localhost:8080/api/restaurantes,60,0,0
1754004379192,47,Listar restaurantes,200,,Testes - 200 acessos 1-14,text,true,,2872,396,13,13,http://localhost:8080/api/restaurantes,47,0,0
1754004378775,465,Login simultâneo,200,,Testes - 200 acessos 1-17,text,true,,635,246,13,13,http://localhost:8080/api/auth/login,465,0,1
1754004379192,58,Listar restaurantes,200,,Testes - 200 acessos 1-15,text,true,,2872,396,13,13,http://localhost:8080/api/restaurantes,47,0,0
1754004379208,57,Criação de pedidos,201,,Testes - 200 acessos 1-16,text,true,,771,706,13,13,http://localhost:8080/api/pedidos,54,0,0
1754004379240,44,Listar restaurantes,200,,Testes - 200 acessos 1-17,text,true,,2872,396,14,14,http://localhost:8080/api/restaurantes,44,0,0
1754004379251,55,Criação de pedidos,201,,Testes - 200 acessos 1-15,text,true,,771,706,14,14,http://localhost:8080/api/pedidos,49,0,0
1754004379240,95,Criação de pedidos,201,,Testes - 200 acessos 1-14,text,true,,771,706,15,15,http://localhost:8080/api/pedidos,94,0,0
1754004378827,532,Login simultâneo,200,,Testes - 200 acessos 1-18,text,true,,635,246,15,15,http://localhost:8080/api/auth/login,532,0,1
1754004378875,485,Login simultâneo,200,,Testes - 200 acessos 1-19,text,true,,635,246,15,15,http://localhost:8080/api/auth/login,485,0,1
1754004379266,110,Consulta de Pedidos,200,,Testes - 200 acessos 1-16,text,true,,861,393,16,16,http://localhost:8080/api/pedidos/1,110,0,0
1754004379285,120,Criação de pedidos,201,,Testes - 200 acessos 1-17,text,true,,771,706,15,15,http://localhost:8080/api/pedidos,116,0,0
1754004378979,475,Login simultâneo,200,,Testes - 200 acessos 1-21,text,true,,635,246,16,16,http://localhost:8080/api/auth/login,475,0,1
1754004379026,441,Login simultâneo,200,,Testes - 200 acessos 1-22,text,true,,635,246,16,16,http://localhost:8080/api/auth/login,441,0,0
1754004379360,108,Listar restaurantes,200,,Testes - 200 acessos 1-18,text,true,,2872,396,16,16,http://localhost:8080/api/restaurantes,108,0,0
1754004379336,147,Consulta de Pedidos,200,,Testes - 200 acessos 1-14,text,true,,861,393,17,17,http://localhost:8080/api/pedidos/1,147,0,0
1754004379306,181,Consulta de Pedidos,200,,Testes - 200 acessos 1-15,text,true,,861,393,16,16,http://localhost:8080/api/pedidos/1,181,0,0
1754004379360,127,Listar restaurantes,200,,Testes - 200 acessos 1-19,text,true,,2872,396,16,16,http://localhost:8080/api/restaurantes,123,0,0
1754004378927,581,Login simultâneo,200,,Testes - 200 acessos 1-20,text,true,,635,246,15,15,http://localhost:8080/api/auth/login,580,0,1
1754004379406,112,Consulta de Pedidos,200,,Testes - 200 acessos 1-17,text,true,,861,393,15,15,http://localhost:8080/api/pedidos/1,101,0,0
