timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754004611676,437,Login simultâneo,200,,Testes - 500 acessos 1-4,text,true,,635,246,25,25,http://localhost:8080/api/auth/login,436,0,10
1754004611746,400,Login simultâneo,200,,Testes - 500 acessos 1-7,text,true,,635,246,27,27,http://localhost:8080/api/auth/login,400,0,7
1754004611656,488,Login simultâneo,200,,Testes - 500 acessos 1-3,text,true,,635,246,27,27,http://localhost:8080/api/auth/login,488,0,1
1754004611616,561,Login simultâneo,200,,Testes - 500 acessos 1-1,text,true,,635,246,28,28,http://localhost:8080/api/auth/login,561,0,1
1754004611636,554,Login simultâneo,200,,Testes - 500 acessos 1-2,text,true,,635,246,29,29,http://localhost:8080/api/auth/login,554,0,1
1754004611758,516,Login simultâneo,200,,Testes - 500 acessos 1-8,text,true,,635,246,33,33,http://localhost:8080/api/auth/login,516,0,4
1754004611697,582,Login simultâneo,200,,Testes - 500 acessos 1-5,text,true,,635,246,34,34,http://localhost:8080/api/auth/login,582,0,1
1754004611796,508,Login simultâneo,200,,Testes - 500 acessos 1-10,text,true,,635,246,35,35,http://localhost:8080/api/auth/login,508,0,1
1754004611717,665,Login simultâneo,200,,Testes - 500 acessos 1-6,text,true,,635,246,39,39,http://localhost:8080/api/auth/login,665,0,0
1754004611778,679,Login simultâneo,200,,Testes - 500 acessos 1-9,text,true,,635,246,42,42,http://localhost:8080/api/auth/login,679,0,1
1754004611860,641,Login simultâneo,200,,Testes - 500 acessos 1-13,text,true,,635,246,45,45,http://localhost:8080/api/auth/login,641,0,3
1754004611816,707,Login simultâneo,200,,Testes - 500 acessos 1-11,text,true,,635,246,46,46,http://localhost:8080/api/auth/login,707,0,1
1754004611898,720,Login simultâneo,200,,Testes - 500 acessos 1-15,text,true,,635,246,50,50,http://localhost:8080/api/auth/login,720,0,0
1754004611837,826,Login simultâneo,200,,Testes - 500 acessos 1-12,text,true,,635,246,53,53,http://localhost:8080/api/auth/login,826,0,4
1754004611956,731,Login simultâneo,200,,Testes - 500 acessos 1-18,text,true,,635,246,54,54,http://localhost:8080/api/auth/login,731,0,0
