timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754004137837,65,Consulta de Pedidos,200,,Testes - 100 acessos 1-9,text,true,,861,393,9,9,http://localhost:8080/api/pedidos/1,65,0,0
1754004137859,58,Consulta de Pedidos,200,,Testes - 100 acessos 1-8,text,true,,861,393,9,9,http://localhost:8080/api/pedidos/1,56,0,0
1754004137761,156,Listar restaurantes,200,,Testes - 100 acessos 1-11,text,true,,2872,396,9,9,http://localhost:8080/api/restaurantes,153,0,0
1754004137819,100,Listar restaurantes,200,,Testes - 100 acessos 1-12,text,true,,2872,396,8,8,http://localhost:8080/api/restaurantes,98,0,0
1754004137516,472,Login simultâneo,200,,Testes - 100 acessos 1-13,text,true,,635,246,8,8,http://localhost:8080/api/auth/login,472,0,1
1754004137897,149,Criação de pedidos,201,,Testes - 100 acessos 1-10,text,true,,770,706,9,9,http://localhost:8080/api/pedidos,143,0,0
1754004137918,129,Criação de pedidos,201,,Testes - 100 acessos 1-11,text,true,,770,706,9,9,http://localhost:8080/api/pedidos,128,0,0
1754004137919,136,Criação de pedidos,201,,Testes - 100 acessos 1-12,text,true,,770,706,9,9,http://localhost:8080/api/pedidos,134,0,0
1754004137990,68,Listar restaurantes,200,,Testes - 100 acessos 1-13,text,true,,2872,396,9,9,http://localhost:8080/api/restaurantes,66,0,0
1754004138046,66,Consulta de Pedidos,200,,Testes - 100 acessos 1-10,text,true,,861,393,9,9,http://localhost:8080/api/pedidos/1,66,0,0
1754004138047,65,Consulta de Pedidos,200,,Testes - 100 acessos 1-11,text,true,,861,393,9,9,http://localhost:8080/api/pedidos/1,65,0,0
1754004137622,490,Login simultâneo,200,,Testes - 100 acessos 1-14,text,true,,635,246,7,7,http://localhost:8080/api/auth/login,490,0,0
1754004138055,91,Consulta de Pedidos,200,,Testes - 100 acessos 1-12,text,true,,861,393,8,8,http://localhost:8080/api/pedidos/1,84,0,0
1754004138059,104,Criação de pedidos,201,,Testes - 100 acessos 1-13,text,true,,770,706,7,7,http://localhost:8080/api/pedidos,104,0,0
1754004138114,81,Listar restaurantes,200,,Testes - 100 acessos 1-14,text,true,,2872,396,7,7,http://localhost:8080/api/restaurantes,76,0,0
1754004137716,498,Login simultâneo,200,,Testes - 100 acessos 1-15,text,true,,635,246,7,7,http://localhost:8080/api/auth/login,498,0,1
